inventory_id,hospital_id,component_id,blood_group,units_available,received_date,expiry_date,status
69,1,3,O+,3,2025-08-25,2026-08-25,Available
70,1,2,B+,1,2026-06-05,2026-07-17,Available
71,1,1,A+,3,2026-07-02,2026-08-06,Available
72,1,1,A+,7,2026-06-07,2026-07-12,Available
73,1,1,B+,5,2026-06-15,2026-07-20,Available
74,1,3,O+,4,2026-05-06,2027-05-06,Available
75,1,3,A+,7,2025-12-24,2026-12-24,Available
76,1,2,A+,5,2026-06-13,2026-07-25,Available
77,1,3,AB+,9,2026-01-24,2027-01-24,Available
78,1,3,A-,4,2025-08-30,2026-08-30,Allocated
79,1,3,B+,5,2025-08-15,2026-08-15,Available
80,1,1,B+,9,2026-06-08,2026-07-13,Available
81,1,3,O+,5,2025-07-15,2026-07-15,Available
82,1,3,B+,7,2025-09-23,2026-09-23,Available
83,1,2,B+,1,2026-06-24,2026-08-05,Available
84,1,4,A+,6,2026-06-28,2026-07-03,Expired
85,1,1,B+,4,2026-06-08,2026-07-13,Available
86,1,3,O+,7,2026-03-30,2027-03-30,Available
87,1,4,O+,4,2026-07-05,2026-07-10,Expiring
88,1,4,O+,6,2026-06-28,2026-07-03,Expired
89,1,4,B+,4,2026-06-27,2026-07-02,Expired
90,1,1,A+,10,2026-07-05,2026-08-09,Available
91,1,3,A+,6,2026-05-18,2027-05-18,Allocated
92,1,2,O+,1,2026-06-03,2026-07-15,Available
93,1,1,A+,5,2026-07-03,2026-08-07,Available
94,1,1,AB+,1,2026-06-10,2026-07-15,Allocated
95,1,3,A+,5,2025-07-10,2026-07-10,Expiring
96,1,3,A+,1,2026-02-15,2027-02-15,Allocated
97,1,1,B+,8,2026-07-04,2026-08-08,Allocated
98,1,3,A+,8,2025-08-16,2026-08-16,Available
99,1,3,A+,9,2025-11-05,2026-11-05,Available
100,1,3,B+,6,2026-06-16,2027-06-16,Available
101,1,3,A+,3,2025-07-05,2026-07-05,Expiring
102,1,4,B+,3,2026-07-03,2026-07-08,Expiring
103,1,2,B+,7,2026-06-30,2026-08-11,Available
104,1,4,B+,1,2026-07-04,2026-07-09,Expiring
105,1,1,O+,1,2026-06-07,2026-07-12,Available
106,1,1,AB-,5,2026-06-01,2026-07-06,Expiring
107,1,3,O+,10,2026-03-28,2027-03-28,Available
108,1,3,B+,6,2026-01-16,2027-01-16,Available
109,1,2,B+,10,2026-06-25,2026-08-06,Available
110,1,2,AB+,9,2026-06-12,2026-07-24,Available
111,1,2,O+,7,2026-05-24,2026-07-05,Expiring
112,1,2,A+,1,2026-06-09,2026-07-21,Available
113,1,1,A+,3,2026-06-03,2026-07-08,Expiring
114,1,4,A-,2,2026-07-01,2026-07-06,Expiring
115,1,3,A+,8,2026-04-08,2027-04-08,Available
116,1,2,A+,4,2026-05-28,2026-07-09,Expiring
117,1,1,A+,7,2026-06-03,2026-07-08,Expiring
118,1,2,A+,1,2026-06-24,2026-08-05,Available
119,1,1,O+,6,2026-05-31,2026-07-05,Expiring
120,1,4,A+,6,2026-07-04,2026-07-09,Expiring
121,1,4,B+,10,2026-06-28,2026-07-03,Expired
122,1,1,A+,10,2026-06-30,2026-08-04,Allocated
123,1,4,B+,2,2026-07-04,2026-07-09,Expiring
124,1,1,A+,3,2026-06-30,2026-08-04,Available
125,1,4,A+,6,2026-07-03,2026-07-08,Expiring
126,1,2,AB+,1,2026-05-29,2026-07-10,Expiring
127,1,3,B+,1,2026-04-10,2027-04-10,Available
128,1,1,A+,8,2026-06-12,2026-07-17,Available
129,1,2,A+,4,2026-05-20,2026-07-01,Expired
130,1,3,O+,4,2026-01-29,2027-01-29,Available
131,1,1,A+,5,2026-06-27,2026-08-01,Available
132,1,4,B+,3,2026-07-01,2026-07-06,Expiring
133,1,3,O+,3,2026-02-13,2027-02-13,Available
134,1,2,A+,4,2026-06-09,2026-07-21,Available
135,1,4,B+,4,2026-07-01,2026-07-06,Expiring
136,1,1,O-,5,2026-06-24,2026-07-29,Available
137,1,3,A+,5,2025-11-22,2026-11-22,Available
138,1,4,B+,10,2026-06-30,2026-07-05,Expiring
139,1,1,B+,6,2026-06-12,2026-07-17,Available
140,1,1,O-,8,2026-06-02,2026-07-07,Expiring
141,1,2,A+,3,2026-05-26,2026-07-07,Expiring
142,1,2,B+,10,2026-07-03,2026-08-14,Available
143,1,2,AB+,10,2026-06-01,2026-07-13,Available
144,1,3,A+,7,2025-07-11,2026-07-11,Available
145,1,4,B+,5,2026-06-25,2026-06-30,Expired
146,1,1,AB+,6,2026-06-22,2026-07-27,Available
147,1,1,B-,9,2026-06-03,2026-07-08,Expiring
148,1,4,B-,2,2026-07-01,2026-07-06,Expiring
149,1,1,B+,4,2026-06-03,2026-07-08,Expiring
150,1,3,A+,4,2026-02-23,2027-02-23,Available
151,1,4,A+,2,2026-07-05,2026-07-10,Expiring
152,1,1,A-,3,2026-06-02,2026-07-07,Expiring
153,1,4,A+,3,2026-06-28,2026-07-03,Expired
154,1,1,A+,10,2026-06-06,2026-07-11,Available
155,1,4,A+,7,2026-06-26,2026-07-01,Expired
156,1,4,A+,10,2026-06-25,2026-06-30,Expired
157,1,4,A+,6,2026-07-05,2026-07-10,Expiring
158,1,1,B+,6,2026-06-29,2026-08-03,Available
159,1,1,O-,3,2026-07-05,2026-08-09,Available
160,1,2,O+,6,2026-06-14,2026-07-26,Available
161,1,4,O+,3,2026-07-04,2026-07-09,Expiring
162,1,3,O+,5,2026-01-03,2027-01-03,Available
163,1,1,A-,3,2026-06-01,2026-07-06,Expiring
164,1,2,A+,8,2026-07-04,2026-08-15,Available
165,1,1,O+,10,2026-06-06,2026-07-11,Available
166,1,1,B+,7,2026-06-08,2026-07-13,Available
167,1,4,B+,5,2026-07-02,2026-07-07,Expiring
168,1,1,A+,10,2026-06-12,2026-07-17,Available
169,1,1,AB+,5,2026-06-10,2026-07-15,Available
170,1,4,A+,9,2026-07-02,2026-07-07,Expiring
171,1,4,B-,7,2026-07-04,2026-07-09,Expiring
172,1,4,A+,5,2026-06-29,2026-07-04,Expired
173,1,1,O+,7,2026-05-30,2026-07-04,Expired
174,1,2,B+,1,2026-05-29,2026-07-10,Expiring
175,1,1,B+,9,2026-06-25,2026-07-30,Available
176,1,1,A+,10,2026-06-16,2026-07-21,Allocated
177,1,4,A+,4,2026-06-27,2026-07-02,Expired
178,1,2,O-,3,2026-05-30,2026-07-11,Available
179,1,4,A+,1,2026-06-30,2026-07-05,Expiring
180,1,4,B+,5,2026-07-04,2026-07-09,Expiring
181,1,1,A-,6,2026-06-26,2026-07-31,Available
182,1,4,AB+,8,2026-07-03,2026-07-08,Expiring
183,1,4,O+,3,2026-07-05,2026-07-10,Expiring
184,1,3,B+,3,2026-03-25,2027-03-25,Available
185,1,3,B+,3,2026-05-25,2027-05-25,Available
186,1,2,A+,7,2026-06-22,2026-08-03,Available
187,1,4,AB+,3,2026-07-02,2026-07-07,Expiring
188,1,4,O+,9,2026-06-25,2026-06-30,Expired
189,1,3,AB+,1,2025-12-26,2026-12-26,Available
190,1,4,O+,2,2026-06-30,2026-07-05,Expiring
191,1,3,O+,9,2025-11-06,2026-11-06,Available
192,1,2,A+,4,2026-05-22,2026-07-03,Expired
193,1,2,B+,7,2026-06-05,2026-07-17,Available
194,1,3,B+,4,2025-07-09,2026-07-09,Expiring
195,1,2,A+,7,2026-06-29,2026-08-10,Available
196,1,1,O+,7,2026-06-27,2026-08-01,Available
197,1,2,O+,7,2026-06-17,2026-07-29,Available
198,1,2,B+,2,2026-06-01,2026-07-13,Available
199,1,2,A-,10,2026-05-24,2026-07-05,Expiring
200,1,4,A+,4,2026-07-05,2026-07-10,Expiring
201,1,4,AB+,3,2026-06-26,2026-07-01,Expired
202,1,4,A+,6,2026-07-02,2026-07-07,Expiring
203,1,3,A-,6,2026-01-01,2027-01-01,Available
204,1,2,B-,10,2026-07-05,2026-08-16,Available
205,1,1,B+,2,2026-06-10,2026-07-15,Available
206,1,4,O+,8,2026-07-03,2026-07-08,Expiring
207,1,4,B+,1,2026-07-02,2026-07-07,Expiring
208,1,4,B+,5,2026-07-02,2026-07-07,Expiring
209,1,1,B+,2,2026-06-08,2026-07-13,Available
210,1,4,B+,3,2026-06-25,2026-06-30,Expired
211,1,1,O-,3,2026-06-08,2026-07-13,Available
212,1,4,B+,8,2026-06-29,2026-07-04,Expired
213,1,2,A+,5,2026-07-03,2026-08-14,Allocated
214,1,1,B+,3,2026-06-09,2026-07-14,Available
215,1,1,A+,2,2026-06-02,2026-07-07,Expiring
216,1,4,B+,2,2026-06-28,2026-07-03,Expired
217,1,3,B+,2,2026-01-09,2027-01-09,Available
218,1,1,A-,1,2026-06-10,2026-07-15,Available
219,1,2,A-,10,2026-06-27,2026-08-08,Available
220,1,2,O-,8,2026-05-23,2026-07-04,Expired
221,1,2,A+,8,2026-07-05,2026-08-16,Available
222,1,1,O-,7,2026-06-10,2026-07-15,Available
223,1,2,A+,7,2026-06-16,2026-07-28,Available
224,1,3,AB+,2,2025-08-15,2026-08-15,Available
225,1,2,A+,9,2026-06-07,2026-07-19,Available
226,1,4,A+,6,2026-06-28,2026-07-03,Expired
227,1,4,B+,6,2026-06-27,2026-07-02,Expired
228,1,1,B+,3,2026-06-28,2026-08-02,Allocated
229,1,1,B-,7,2026-06-01,2026-07-06,Expiring
230,1,3,B+,2,2025-07-25,2026-07-25,Available
231,1,3,O+,10,2026-01-14,2027-01-14,Available
232,1,2,B+,10,2026-06-03,2026-07-15,Available
233,1,4,O+,7,2026-06-28,2026-07-03,Expired
234,1,3,B-,8,2026-06-11,2027-06-11,Available
235,1,3,A+,8,2026-05-04,2027-05-04,Available
236,1,4,B+,10,2026-07-05,2026-07-10,Expiring
237,1,1,B-,5,2026-06-12,2026-07-17,Available
238,1,3,A+,5,2025-07-25,2026-07-25,Available
239,1,4,B+,9,2026-07-05,2026-07-10,Expiring
240,1,3,B-,3,2026-02-19,2027-02-19,Available
241,1,1,A+,1,2026-06-09,2026-07-14,Available
242,1,3,A+,1,2026-02-03,2027-02-03,Available
243,1,3,A+,1,2026-01-04,2027-01-04,Available
244,1,4,A+,4,2026-06-29,2026-07-04,Expired
245,1,2,O+,2,2026-06-24,2026-08-05,Available
246,1,1,A+,3,2026-06-27,2026-08-01,Available
247,1,1,B+,5,2026-06-08,2026-07-13,Available
248,1,3,A+,10,2025-11-13,2026-11-13,Available
249,1,2,A+,9,2026-05-20,2026-07-01,Expired
250,1,4,A+,8,2026-06-26,2026-07-01,Expired
251,1,1,A+,2,2026-07-03,2026-08-07,Available
252,1,1,A-,3,2026-07-03,2026-08-07,Available
253,1,2,A+,2,2026-05-20,2026-07-01,Expired
254,1,4,B+,9,2026-06-29,2026-07-04,Expired
255,1,3,B-,6,2026-05-26,2027-05-26,Allocated
256,1,2,A+,5,2026-05-19,2026-06-30,Expired
257,1,4,A+,7,2026-06-29,2026-07-04,Expired
258,1,2,A-,3,2026-07-04,2026-08-15,Allocated
259,1,3,A+,2,2026-02-24,2027-02-24,Available
260,1,1,AB+,2,2026-06-08,2026-07-13,Available
261,1,3,A+,5,2025-09-16,2026-09-16,Allocated
262,1,1,O+,9,2026-05-27,2026-07-01,Expired
263,1,2,A+,4,2026-06-01,2026-07-13,Available
264,1,3,A+,6,2026-06-10,2027-06-10,Available
265,1,1,A-,7,2026-06-22,2026-07-27,Available
266,1,4,O+,5,2026-07-03,2026-07-08,Expiring
267,1,4,B-,1,2026-06-27,2026-07-02,Expired
268,1,1,B+,7,2026-05-28,2026-07-02,Expired
269,1,1,B-,5,2026-06-24,2026-07-29,Available
270,1,3,B+,4,2025-12-09,2026-12-09,Available
271,1,4,A+,3,2026-06-29,2026-07-04,Expired
272,1,2,A-,5,2026-06-18,2026-07-30,Available
273,1,4,B+,6,2026-06-25,2026-06-30,Expired
274,1,4,A+,4,2026-07-04,2026-07-09,Expiring
275,1,2,A+,1,2026-06-21,2026-08-02,Available
276,1,3,A-,2,2026-03-14,2027-03-14,Available
277,1,3,A+,10,2025-07-06,2026-07-06,Expiring
278,1,1,B+,10,2026-06-06,2026-07-11,Available
279,1,2,A+,6,2026-05-28,2026-07-09,Expiring
280,1,4,B+,7,2026-06-27,2026-07-02,Expired
281,1,1,B+,9,2026-06-05,2026-07-10,Expiring
282,1,1,A+,6,2026-07-05,2026-08-09,Available
283,1,4,O+,8,2026-06-30,2026-07-05,Expiring
284,1,2,AB+,8,2026-06-26,2026-08-07,Available
285,1,2,A+,4,2026-06-04,2026-07-16,Available
286,1,2,B+,7,2026-06-25,2026-08-06,Available
287,1,1,A+,10,2026-07-03,2026-08-07,Allocated
288,1,2,A+,8,2026-05-26,2026-07-07,Expiring
289,1,4,B+,6,2026-06-27,2026-07-02,Expired
290,1,4,B+,4,2026-07-04,2026-07-09,Expiring
291,1,2,B+,9,2026-05-19,2026-06-30,Expired
292,1,2,A-,5,2026-06-12,2026-07-24,Available
293,1,3,AB+,8,2026-01-25,2027-01-25,Available
294,1,2,A+,3,2026-07-04,2026-08-15,Available
295,1,4,A+,10,2026-07-03,2026-07-08,Expiring
296,1,3,AB+,10,2026-01-06,2027-01-06,Available
297,1,2,AB+,5,2026-07-04,2026-08-15,Available
298,1,3,A+,4,2025-10-27,2026-10-27,Available
299,1,2,A+,3,2026-06-01,2026-07-13,Available
300,1,4,A+,2,2026-07-04,2026-07-09,Expiring
301,1,2,O+,4,2026-06-10,2026-07-22,Available
302,1,4,O+,10,2026-07-04,2026-07-09,Expiring
303,1,3,A+,3,2026-02-07,2027-02-07,Available
304,1,2,O+,7,2026-05-19,2026-06-30,Expired
305,1,2,O+,7,2026-05-31,2026-07-12,Available
306,1,1,B+,7,2026-06-22,2026-07-27,Allocated
307,1,1,A+,6,2026-06-18,2026-07-23,Available
308,1,2,A-,2,2026-05-26,2026-07-07,Expiring
309,1,4,A+,6,2026-06-25,2026-06-30,Expired
310,1,4,AB-,9,2026-06-27,2026-07-02,Expired
311,1,4,B+,7,2026-06-27,2026-07-02,Expired
312,1,4,A+,7,2026-07-02,2026-07-07,Expiring
313,1,4,A+,8,2026-06-28,2026-07-03,Expired
314,1,4,AB-,8,2026-07-01,2026-07-06,Expiring
315,1,2,O+,3,2026-06-25,2026-08-06,Available
316,1,1,O+,9,2026-07-05,2026-08-09,Available
317,1,2,O+,3,2026-06-06,2026-07-18,Available
318,1,2,O+,7,2026-06-29,2026-08-10,Available
319,1,4,A+,7,2026-06-29,2026-07-04,Expired
320,1,3,B+,4,2025-12-07,2026-12-07,Available
321,1,3,A+,4,2025-08-23,2026-08-23,Available
322,1,3,O+,9,2025-08-22,2026-08-22,Allocated
323,1,4,A-,10,2026-06-26,2026-07-01,Expired
324,1,2,O-,7,2026-05-20,2026-07-01,Expired
325,1,2,B-,6,2026-07-04,2026-08-15,Available
326,1,4,A+,10,2026-07-03,2026-07-08,Expiring
327,1,1,B+,8,2026-05-26,2026-06-30,Expired
328,1,4,AB+,2,2026-06-25,2026-06-30,Expired
329,1,3,O+,1,2025-12-28,2026-12-28,Available
330,1,2,A+,7,2026-05-25,2026-07-06,Expiring
331,1,4,A+,9,2026-06-27,2026-07-02,Expired
332,1,3,O+,3,2026-03-29,2027-03-29,Available
333,1,2,B+,4,2026-05-20,2026-07-01,Expired
334,1,2,B+,8,2026-06-24,2026-08-05,Allocated
335,1,4,B+,6,2026-07-02,2026-07-07,Expiring
336,1,2,A+,5,2026-06-27,2026-08-08,Available
337,1,2,A+,4,2026-07-04,2026-08-15,Available
338,1,3,B+,4,2025-11-12,2026-11-12,Available
339,1,2,A+,4,2026-06-07,2026-07-19,Available
340,1,1,O+,9,2026-06-06,2026-07-11,Available
341,1,2,A-,6,2026-05-28,2026-07-09,Expiring
342,1,3,O+,4,2026-04-15,2027-04-15,Available
343,1,2,A+,1,2026-07-01,2026-08-12,Available
344,1,1,AB+,9,2026-06-09,2026-07-14,Allocated
345,1,3,A-,2,2025-12-20,2026-12-20,Available
346,1,4,B+,9,2026-07-01,2026-07-06,Expiring
347,1,2,B+,10,2026-06-28,2026-08-09,Available
348,1,4,O+,1,2026-06-27,2026-07-02,Expired
349,1,1,B+,8,2026-06-07,2026-07-12,Available
350,1,4,A-,5,2026-07-05,2026-07-10,Expiring
351,1,2,A+,1,2026-06-10,2026-07-22,Available
352,1,3,AB+,9,2025-07-04,2026-07-04,Expired
353,1,2,B-,8,2026-05-26,2026-07-07,Expiring
354,1,1,A-,2,2026-06-08,2026-07-13,Available
355,1,4,A+,10,2026-07-01,2026-07-06,Expiring
356,1,1,A+,3,2026-06-28,2026-08-02,Available
357,1,1,B+,3,2026-06-14,2026-07-19,Allocated
358,1,3,B+,4,2025-10-31,2026-10-31,Available
359,1,1,A+,2,2026-06-14,2026-07-19,Available
360,1,3,AB+,8,2025-07-07,2026-07-07,Expiring
361,2,3,A+,5,2026-03-02,2027-03-02,Available
362,2,3,B+,8,2025-07-18,2026-07-18,Available
363,2,2,O+,5,2026-06-07,2026-07-19,Available
364,2,3,A+,1,2025-09-04,2026-09-04,Available
365,2,3,B+,9,2026-04-21,2027-04-21,Available
366,2,4,B-,6,2026-07-02,2026-07-07,Expiring
367,2,1,A+,6,2026-05-30,2026-07-04,Expired
368,2,2,A+,5,2026-05-21,2026-07-02,Expired
369,2,2,B+,3,2026-06-16,2026-07-28,Available
370,2,3,B+,8,2026-01-30,2027-01-30,Available
371,2,2,B+,5,2026-05-23,2026-07-04,Expired
372,2,3,O+,3,2026-04-17,2027-04-17,Available
373,2,3,A+,7,2026-02-06,2027-02-06,Available
374,2,2,A-,1,2026-06-21,2026-08-02,Available
375,2,3,B+,5,2025-09-10,2026-09-10,Available
376,2,3,A-,5,2026-06-29,2027-06-29,Available
377,2,4,B+,9,2026-06-27,2026-07-02,Expired
378,2,4,A+,8,2026-06-29,2026-07-04,Expired
379,2,4,B+,3,2026-06-26,2026-07-01,Expired
380,2,2,O+,3,2026-06-13,2026-07-25,Available
381,2,1,B+,6,2026-06-03,2026-07-08,Expiring
382,2,3,B+,6,2025-10-11,2026-10-11,Available
383,2,1,AB+,3,2026-06-04,2026-07-09,Expiring
384,2,1,B+,8,2026-06-02,2026-07-07,Expiring
385,2,1,A+,8,2026-06-24,2026-07-29,Available
386,2,2,O+,2,2026-07-05,2026-08-16,Available
387,2,4,A+,4,2026-07-01,2026-07-06,Expiring
388,2,3,B+,3,2026-03-13,2027-03-13,Available
389,2,4,B+,4,2026-07-04,2026-07-09,Expiring
390,2,4,A+,8,2026-06-30,2026-07-05,Expiring
391,2,3,A+,10,2025-11-12,2026-11-12,Allocated
392,2,1,B+,9,2026-07-05,2026-08-09,Available
393,2,2,A+,4,2026-05-19,2026-06-30,Expired
394,2,2,O+,1,2026-06-12,2026-07-24,Available
395,2,4,AB+,6,2026-07-04,2026-07-09,Expiring
396,2,4,A-,2,2026-06-27,2026-07-02,Expired
397,2,3,A+,9,2026-02-17,2027-02-17,Allocated
398,2,2,B+,9,2026-05-19,2026-06-30,Expired
399,2,2,B+,1,2026-06-30,2026-08-11,Available
400,2,2,A+,4,2026-06-02,2026-07-14,Available
401,2,4,O-,4,2026-07-03,2026-07-08,Expiring
402,2,3,A+,8,2026-03-11,2027-03-11,Available
403,2,2,B+,5,2026-05-28,2026-07-09,Expiring
404,2,3,A+,5,2025-09-26,2026-09-26,Available
405,2,1,B+,2,2026-06-23,2026-07-28,Allocated
406,2,4,A+,9,2026-07-03,2026-07-08,Expiring
407,2,3,A+,1,2026-01-31,2027-01-31,Available
408,2,2,A+,10,2026-06-20,2026-08-01,Available
409,2,3,B+,8,2025-11-03,2026-11-03,Available
410,2,1,B+,6,2026-07-02,2026-08-06,Available
411,2,3,B+,4,2026-05-29,2027-05-29,Available
412,2,3,B+,2,2025-11-21,2026-11-21,Available
413,2,4,B+,9,2026-07-04,2026-07-09,Expiring
414,2,2,B+,4,2026-05-29,2026-07-10,Expiring
415,2,2,B+,8,2026-05-28,2026-07-09,Expiring
416,2,3,A+,10,2026-02-02,2027-02-02,Available
417,2,3,B-,2,2025-11-27,2026-11-27,Available
418,2,3,A+,4,2025-11-21,2026-11-21,Available
419,2,3,O+,10,2025-08-14,2026-08-14,Available
420,2,3,A+,5,2026-07-05,2027-07-05,Available
421,2,3,A+,5,2025-09-01,2026-09-01,Available
422,2,3,A+,6,2026-04-06,2027-04-06,Available
423,2,1,O+,5,2026-06-03,2026-07-08,Expiring
424,2,1,B+,5,2026-06-16,2026-07-21,Available
425,2,4,AB+,6,2026-07-02,2026-07-07,Expiring
426,2,3,B+,9,2026-02-15,2027-02-15,Available
427,2,1,B+,8,2026-05-26,2026-06-30,Expired
428,2,4,O-,3,2026-07-04,2026-07-09,Expiring
429,2,2,A+,1,2026-06-04,2026-07-16,Available
430,2,4,B+,8,2026-06-27,2026-07-02,Expired
431,2,4,A+,3,2026-06-28,2026-07-03,Expired
432,2,3,B-,2,2026-04-05,2027-04-05,Available
433,2,4,A+,5,2026-06-25,2026-06-30,Expired
434,2,1,O+,8,2026-06-29,2026-08-03,Available
435,2,1,A+,3,2026-06-01,2026-07-06,Expiring
436,2,4,B+,2,2026-07-02,2026-07-07,Expiring
437,2,4,A+,4,2026-07-02,2026-07-07,Expiring
438,2,3,O-,9,2026-01-29,2027-01-29,Available
439,2,4,A+,8,2026-06-27,2026-07-02,Expired
440,2,1,A+,5,2026-06-29,2026-08-03,Allocated
441,2,3,B-,10,2026-03-20,2027-03-20,Available
442,2,2,A-,3,2026-06-15,2026-07-27,Available
443,2,1,A-,3,2026-06-10,2026-07-15,Available
444,2,2,A+,3,2026-05-27,2026-07-08,Expiring
445,2,3,A+,9,2026-01-20,2027-01-20,Allocated
446,2,1,A-,7,2026-05-28,2026-07-02,Expired
447,2,2,AB+,5,2026-05-20,2026-07-01,Expired
448,2,1,A+,5,2026-06-21,2026-07-26,Available
449,2,4,A-,6,2026-07-01,2026-07-06,Expiring
450,2,4,A+,5,2026-07-03,2026-07-08,Expiring
451,2,3,O+,6,2026-01-16,2027-01-16,Available
452,2,2,AB+,8,2026-06-15,2026-07-27,Available
453,2,1,A+,7,2026-05-30,2026-07-04,Expired
454,2,3,B+,1,2025-12-04,2026-12-04,Available
455,2,4,B+,1,2026-06-29,2026-07-04,Expired
456,2,3,AB+,6,2025-12-08,2026-12-08,Available
457,2,2,A+,8,2026-06-27,2026-08-08,Available
458,2,3,AB+,4,2026-06-26,2027-06-26,Available
459,2,1,O-,5,2026-06-19,2026-07-24,Available
460,2,4,AB+,6,2026-07-05,2026-07-10,Expiring
461,2,4,A+,7,2026-06-29,2026-07-04,Expired
462,2,3,A+,9,2026-01-20,2027-01-20,Available
463,2,2,A+,4,2026-06-23,2026-08-04,Available
464,2,3,B-,5,2025-11-22,2026-11-22,Available
465,2,1,AB-,3,2026-06-20,2026-07-25,Available
466,2,4,AB-,10,2026-06-28,2026-07-03,Expired
467,2,3,A-,1,2025-11-07,2026-11-07,Available
468,2,4,B+,8,2026-06-29,2026-07-04,Expired
469,2,1,B+,5,2026-06-20,2026-07-25,Allocated
470,2,1,A+,7,2026-05-29,2026-07-03,Expired
471,2,1,AB+,2,2026-07-02,2026-08-06,Available
472,2,3,B+,5,2026-01-11,2027-01-11,Available
473,2,1,B-,5,2026-06-07,2026-07-12,Available
474,2,1,B+,2,2026-06-27,2026-08-01,Available
475,2,2,B+,7,2026-05-20,2026-07-01,Expired
476,2,1,AB+,3,2026-06-26,2026-07-31,Available
477,2,4,A+,4,2026-06-26,2026-07-01,Expired
478,2,1,A-,2,2026-05-31,2026-07-05,Expiring
479,2,1,A+,4,2026-06-07,2026-07-12,Available
480,2,1,A+,5,2026-06-01,2026-07-06,Expiring
481,2,3,O+,9,2025-09-23,2026-09-23,Available
482,2,4,B+,3,2026-07-05,2026-07-10,Expiring
